sales_order_id,order_date,customer_name,finished_product,quantity_ordered,required_delivery_date,status
SO-028,2025-01-12,UEM Sunrise Bhd,Anti-Rust Coating,403,2025-01-27,Delivered
SO-029,2025-01-12,YTL Hardware Centre,Protective Roof Paint,388,2025-01-24,Delivered
SO-030,2025-01-12,SP Setia Hardware,Premium White Paint 4L,196,2025-02-01,Open
SO-031,2025-01-13,Kerjaya Bina Bhd,Epoxy Floor Coating,446,2025-01-21,Delivered
SO-032,2025-01-13,Maybank Facilities Mgmt,Wood Stain Brown,291,2025-01-30,Delivered
SO-033,2025-01-13,Eco World Supplies,Premium White Paint 4L,167,2025-01-27,Delivered
SO-034,2025-01-13,Nippon Construction Sdn Bhd,Wood Stain Brown,675,2025-02-03,Open
SO-035,2025-01-14,Eco World Supplies,Anti-Rust Coating,486,2025-02-07,Delivered
SO-036,2025-01-14,Gamuda Trading,Anti-Rust Coating,204,2025-02-05,Open
SO-037,2025-01-14,Gamuda Trading,Protective Roof Paint,56,2025-01-21,Delivered
SO-038,2025-01-15,Nippon Construction Sdn Bhd,Protective Roof Paint,310,2025-02-03,Open
SO-039,2025-01-15,Top Glove Facilities,Premium White Paint 4L,527,2025-01-26,Delivered
SO-040,2025-01-15,Eco World Supplies,Clear Varnish,534,2025-01-29,Delivered
SO-041,2025-01-15,IJM Corporation,Premium White Paint 4L,565,2025-02-01,Delivered
SO-042,2025-01-16,Eco World Supplies,Automotive Red Paint,215,2025-01-31,Delivered
SO-043,2025-01-16,IJM Corporation,Clear Varnish,307,2025-02-06,Open
SO-044,2025-01-16,Kerjaya Bina Bhd,Clear Varnish,699,2025-02-07,Delivered
SO-045,2025-01-17,Metro Paint Supplies,Epoxy Floor Coating,567,2025-01-24,Open
SO-046,2025-01-17,BuildRight Hardware,Premium White Paint 4L,618,2025-02-04,Delivered
SO-047,2025-01-18,Eco World Supplies,Wood Stain Brown,784,2025-01-25,Open
SO-048,2025-01-19,SP Setia Hardware,Anti-Rust Coating,643,2025-02-05,Delivered
SO-049,2025-01-19,Nippon Construction Sdn Bhd,Marine Blue Coating,399,2025-02-09,Delivered
SO-050,2025-01-19,Kerjaya Bina Bhd,Premium White Paint 4L,639,2025-02-11,Delivered
SO-051,2025-01-19,UEM Sunrise Bhd,Industrial Grey Primer,222,2025-02-05,Delivered
SO-052,2025-01-19,Kerjaya Bina Bhd,Protective Roof Paint,162,2025-01-31,Delivered
SO-053,2025-01-19,Sime Darby Property,Anti-Rust Coating,743,2025-02-14,Delivered
SO-054,2025-01-20,Gamuda Trading,Automotive Red Paint,197,2025-02-05,Delivered
SO-055,2025-01-21,UEM Sunrise Bhd,Clear Varnish,385,2025-02-09,Delivered
SO-056,2025-01-21,Top Glove Facilities,Premium White Paint 4L,569,2025-01-29,Open
SO-057,2025-01-21,Metro Paint Supplies,Clear Varnish,548,2025-01-26,Open
SO-058,2025-01-22,Metro Paint Supplies,Anti-Rust Coating,590,2025-02-10,Open
SO-059,2025-01-22,Sunway Building Materials,Clear Varnish,344,2025-02-10,Delivered
SO-060,2025-01-22,Nippon Construction Sdn Bhd,Premium White Paint 1L,732,2025-01-29,Delivered
SO-061,2025-01-22,Maybank Facilities Mgmt,Premium White Paint 1L,562,2025-01-31,Delivered
SO-062,2025-01-22,Nippon Construction Sdn Bhd,Automotive Red Paint,610,2025-02-05,Open
SO-063,2025-01-22,Maybank Facilities Mgmt,Premium White Paint 1L,710,2025-02-03,Delivered
SO-064,2025-01-23,YTL Hardware Centre,Wood Stain Brown,59,2025-01-31,Open
SO-065,2025-01-23,Maybank Facilities Mgmt,Epoxy Floor Coating,284,2025-02-09,Delivered
SO-066,2025-01-24,Metro Paint Supplies,Premium White Paint 4L,501,2025-02-12,Delivered
SO-067,2025-01-25,Top Glove Facilities,Anti-Rust Coating,628,2025-02-08,Delivered
SO-068,2025-01-25,Nippon Construction Sdn Bhd,Premium White Paint 4L,350,2025-02-02,Delivered
SO-069,2025-01-25,Top Glove Facilities,Marine Blue Coating,222,2025-02-10,Open
SO-070,2025-01-25,Nippon Construction Sdn Bhd,Epoxy Floor Coating,531,2025-02-06,Delivered
SO-071,2025-01-25,Gamuda Trading,Industrial Grey Primer,256,2025-02-09,Open
SO-072,2025-01-25,Nippon Construction Sdn Bhd,Industrial Grey Primer,171,2025-02-17,Delivered
SO-073,2025-01-25,Maybank Facilities Mgmt,Anti-Rust Coating,173,2025-02-13,Delivered
SO-074,2025-01-26,Sime Darby Property,Anti-Rust Coating,457,2025-02-12,Open
SO-075,2025-01-26,Gamuda Trading,Protective Roof Paint,199,2025-02-19,Open
SO-076,2025-01-27,Kerjaya Bina Bhd,Epoxy Floor Coating,658,2025-02-15,Open
SO-077,2025-01-27,Pavilion Retail Supplies,Wood Stain Brown,500,2025-02-13,Delivered
SO-078,2025-01-28,Gamuda Trading,Clear Varnish,296,2025-02-16,Delivered
SO-079,2025-01-28,Eco World Supplies,Industrial Grey Primer,352,2025-02-17,Delivered
SO-080,2025-01-28,UEM Sunrise Bhd,Protective Roof Paint,435,2025-02-14,Delivered
SO-081,2025-01-29,Maybank Facilities Mgmt,Premium White Paint 1L,388,2025-02-10,Open
SO-082,2025-01-29,IJM Corporation,Wood Stain Brown,770,2025-02-22,Open
SO-083,2025-01-29,Top Glove Facilities,Industrial Grey Primer,732,2025-02-04,Delivered
SO-084,2025-01-29,Gamuda Trading,Automotive Red Paint,789,2025-02-08,Delivered
SO-085,2025-01-30,UEM Sunrise Bhd,Industrial Grey Primer,114,2025-02-07,Delivered
SO-086,2025-01-30,Top Glove Facilities,Marine Blue Coating,254,2025-02-11,Delivered
SO-087,2025-01-31,Pavilion Retail Supplies,Premium White Paint 4L,483,2025-02-09,Delivered
SO-088,2025-01-31,IJM Corporation,Epoxy Floor Coating,597,2025-02-10,Delivered
SO-089,2025-02-01,YTL Hardware Centre,Premium White Paint 4L,478,2025-02-21,Open
SO-090,2025-02-01,Eco World Supplies,Protective Roof Paint,709,2025-02-23,Delivered
SO-091,2025-02-02,UEM Sunrise Bhd,Clear Varnish,623,2025-02-11,Delivered
SO-092,2025-02-03,Top Glove Facilities,Protective Roof Paint,418,2025-02-19,Delivered
SO-093,2025-02-04,BuildRight Hardware,Anti-Rust Coating,777,2025-02-09,Open
SO-094,2025-02-04,UEM Sunrise Bhd,Premium White Paint 4L,139,2025-02-16,Delivered
SO-095,2025-02-04,YTL Hardware Centre,Wood Stain Brown,630,2025-02-13,Open
SO-096,2025-02-04,Sime Darby Property,Marine Blue Coating,330,2025-02-16,Open
SO-097,2025-02-05,Nippon Construction Sdn Bhd,Anti-Rust Coating,563,2025-02-10,Delivered
SO-098,2025-02-05,Maybank Facilities Mgmt,Marine Blue Coating,299,2025-03-06,Delivered
SO-099,2025-02-05,Maybank Facilities Mgmt,Protective Roof Paint,667,2025-02-16,Delivered
SO-100,2025-02-05,Top Glove Facilities,Marine Blue Coating,516,2025-02-12,Open
SO-101,2025-02-06,Eco World Supplies,Anti-Rust Coating,617,2025-02-12,Delivered
SO-102,2025-02-06,Metro Paint Supplies,Epoxy Floor Coating,642,2025-02-28,Open
SO-103,2025-02-06,BuildRight Hardware,Epoxy Floor Coating,190,2025-02-18,Open
SO-104,2025-02-07,UEM Sunrise Bhd,Industrial Grey Primer,655,2025-02-28,Delivered
SO-105,2025-02-07,SP Setia Hardware,Industrial Grey Primer,487,2025-02-19,Delivered
SO-106,2025-02-08,BuildRight Hardware,Epoxy Floor Coating,200,2025-02-27,Open
SO-107,2025-02-08,Nippon Construction Sdn Bhd,Clear Varnish,361,2025-03-01,Delivered
SO-108,2025-02-08,Top Glove Facilities,Clear Varnish,206,2025-02-23,Open
SO-109,2025-02-08,BuildRight Hardware,Marine Blue Coating,649,2025-03-02,Delivered
SO-110,2025-02-08,IJM Corporation,Automotive Red Paint,721,2025-02-18,Delivered
SO-111,2025-02-09,Kerjaya Bina Bhd,Protective Roof Paint,798,2025-02-14,Delivered
SO-112,2025-02-10,YTL Hardware Centre,Premium White Paint 1L,430,2025-03-01,Delivered
SO-113,2025-02-10,Metro Paint Supplies,Clear Varnish,250,2025-02-22,Open
SO-114,2025-02-10,SP Setia Hardware,Anti-Rust Coating,66,2025-02-19,Delivered
SO-115,2025-02-10,Sunway Building Materials,Anti-Rust Coating,261,2025-02-27,Open
SO-116,2025-02-10,Top Glove Facilities,Clear Varnish,409,2025-02-25,Open
SO-117,2025-02-11,Kerjaya Bina Bhd,Industrial Grey Primer,546,2025-03-01,Delivered
SO-118,2025-02-11,Eco World Supplies,Epoxy Floor Coating,567,2025-03-07,Delivered
SO-119,2025-02-12,Metro Paint Supplies,Anti-Rust Coating,302,2025-03-07,Delivered
SO-120,2025-02-12,Eco World Supplies,Clear Varnish,647,2025-03-05,Delivered
SO-121,2025-02-13,Sime Darby Property,Anti-Rust Coating,769,2025-02-26,Open
SO-122,2025-02-13,BuildRight Hardware,Wood Stain Brown,276,2025-02-23,Delivered
SO-123,2025-02-13,Top Glove Facilities,Epoxy Floor Coating,635,2025-03-03,Delivered
SO-124,2025-02-13,Kerjaya Bina Bhd,Wood Stain Brown,319,2025-03-05,Delivered
SO-125,2025-02-15,SP Setia Hardware,Marine Blue Coating,550,2025-02-27,Delivered
SO-126,2025-02-15,Sime Darby Property,Epoxy Floor Coating,371,2025-03-15,Delivered
SO-127,2025-02-15,Top Glove Facilities,Premium White Paint 1L,135,2025-03-11,Delivered
SO-128,2025-02-16,SP Setia Hardware,Marine Blue Coating,600,2025-03-08,Open
SO-129,2025-02-16,Eco World Supplies,Premium White Paint 4L,575,2025-03-07,Delivered
SO-130,2025-02-16,UEM Sunrise Bhd,Premium White Paint 4L,570,2025-02-23,Open
SO-131,2025-02-16,Top Glove Facilities,Protective Roof Paint,259,2025-03-02,Open
SO-132,2025-02-16,Top Glove Facilities,Premium White Paint 4L,415,2025-02-25,Delivered
SO-133,2025-02-16,Gamuda Trading,Clear Varnish,167,2025-03-01,Delivered
SO-134,2025-02-16,Top Glove Facilities,Automotive Red Paint,708,2025-03-12,Delivered
SO-135,2025-02-16,UEM Sunrise Bhd,Marine Blue Coating,338,2025-03-05,Open
SO-136,2025-02-17,SP Setia Hardware,Automotive Red Paint,492,2025-02-25,Delivered
SO-137,2025-02-17,Kerjaya Bina Bhd,Protective Roof Paint,583,2025-02-27,Open
SO-138,2025-02-18,Maybank Facilities Mgmt,Anti-Rust Coating,468,2025-03-20,Delivered
SO-139,2025-02-18,Pavilion Retail Supplies,Marine Blue Coating,639,2025-03-03,Delivered
SO-140,2025-02-18,UEM Sunrise Bhd,Premium White Paint 4L,133,2025-03-03,Delivered
SO-141,2025-02-18,UEM Sunrise Bhd,Epoxy Floor Coating,581,2025-02-26,Delivered
SO-142,2025-02-18,Maybank Facilities Mgmt,Wood Stain Brown,753,2025-02-27,Open
SO-143,2025-02-19,Eco World Supplies,Industrial Grey Primer,775,2025-02-28,Delivered
SO-144,2025-02-19,Pavilion Retail Supplies,Industrial Grey Primer,131,2025-03-10,Delivered
SO-145,2025-02-19,IJM Corporation,Marine Blue Coating,51,2025-03-01,Delivered
SO-146,2025-02-20,Nippon Construction Sdn Bhd,Protective Roof Paint,346,2025-03-07,Delivered
SO-147,2025-02-21,Top Glove Facilities,Epoxy Floor Coating,133,2025-02-28,Delivered
SO-148,2025-02-21,Sime Darby Property,Wood Stain Brown,416,2025-03-13,Delivered
SO-149,2025-02-21,Metro Paint Supplies,Anti-Rust Coating,793,2025-02-28,Delivered
SO-150,2025-02-21,YTL Hardware Centre,Industrial Grey Primer,697,2025-03-13,Delivered
SO-151,2025-02-22,Gamuda Trading,Epoxy Floor Coating,332,2025-03-10,Delivered
SO-152,2025-02-22,Maybank Facilities Mgmt,Automotive Red Paint,651,2025-02-28,Delivered
SO-153,2025-02-22,Sime Darby Property,Automotive Red Paint,330,2025-03-15,Delivered
SO-154,2025-02-22,Kerjaya Bina Bhd,Industrial Grey Primer,160,2025-03-14,Delivered
SO-155,2025-02-23,Pavilion Retail Supplies,Marine Blue Coating,209,2025-03-17,Delivered
SO-156,2025-02-23,IJM Corporation,Protective Roof Paint,108,2025-03-07,Delivered
SO-157,2025-02-23,UEM Sunrise Bhd,Epoxy Floor Coating,785,2025-02-28,Delivered
SO-158,2025-02-24,Metro Paint Supplies,Anti-Rust Coating,440,2025-03-08,Delivered
SO-159,2025-02-25,UEM Sunrise Bhd,Protective Roof Paint,159,2025-03-09,Delivered
SO-160,2025-02-27,UEM Sunrise Bhd,Wood Stain Brown,790,2025-03-12,Open
SO-161,2025-02-27,BuildRight Hardware,Clear Varnish,266,2025-03-05,Delivered
SO-162,2025-02-27,BuildRight Hardware,Automotive Red Paint,277,2025-03-17,Delivered
SO-163,2025-02-27,UEM Sunrise Bhd,Wood Stain Brown,531,2025-03-17,Delivered
SO-164,2025-02-27,Gamuda Trading,Premium White Paint 1L,729,2025-03-07,Delivered
SO-165,2025-02-28,Sunway Building Materials,Automotive Red Paint,587,2025-03-19,Open
SO-166,2025-02-28,Eco World Supplies,Automotive Red Paint,742,2025-03-14,Open
SO-167,2025-02-28,Nippon Construction Sdn Bhd,Anti-Rust Coating,322,2025-03-15,Delivered
SO-168,2025-02-28,Kerjaya Bina Bhd,Anti-Rust Coating,437,2025-03-21,Delivered
SO-169,2025-03-01,Pavilion Retail Supplies,Wood Stain Brown,528,2025-03-16,Open
SO-170,2025-03-01,Nippon Construction Sdn Bhd,Protective Roof Paint,278,2025-03-19,Open
SO-171,2025-03-02,Metro Paint Supplies,Premium White Paint 1L,779,2025-03-14,Delivered
SO-172,2025-03-02,Gamuda Trading,Automotive Red Paint,325,2025-03-22,Delivered
SO-173,2025-03-02,Sunway Building Materials,Anti-Rust Coating,668,2025-03-23,Delivered
SO-174,2025-03-02,Gamuda Trading,Protective Roof Paint,91,2025-03-13,Delivered
SO-175,2025-03-03,SP Setia Hardware,Automotive Red Paint,288,2025-03-10,Delivered
SO-176,2025-03-03,BuildRight Hardware,Protective Roof Paint,52,2025-03-10,Delivered
SO-177,2025-03-03,Sunway Building Materials,Wood Stain Brown,494,2025-03-20,Delivered
SO-178,2025-03-03,Eco World Supplies,Anti-Rust Coating,764,2025-03-15,Delivered
SO-179,2025-03-04,UEM Sunrise Bhd,Premium White Paint 4L,613,2025-03-12,Delivered
SO-180,2025-03-04,Gamuda Trading,Premium White Paint 1L,715,2025-03-26,Delivered
SO-181,2025-03-04,SP Setia Hardware,Wood Stain Brown,234,2025-03-21,Open
SO-182,2025-03-04,IJM Corporation,Epoxy Floor Coating,775,2025-03-29,Delivered
SO-183,2025-03-04,IJM Corporation,Industrial Grey Primer,717,2025-03-25,Delivered
SO-184,2025-03-05,UEM Sunrise Bhd,Marine Blue Coating,242,2025-03-24,Open
SO-185,2025-03-05,SP Setia Hardware,Premium White Paint 1L,255,2025-03-25,Delivered
SO-186,2025-03-06,Gamuda Trading,Industrial Grey Primer,186,2025-03-12,Open
SO-187,2025-03-06,Kerjaya Bina Bhd,Premium White Paint 4L,331,2025-03-27,Delivered
SO-188,2025-03-06,YTL Hardware Centre,Premium White Paint 4L,52,2025-03-23,Delivered
SO-189,2025-03-06,Pavilion Retail Supplies,Epoxy Floor Coating,301,2025-03-21,Delivered
SO-190,2025-03-07,Eco World Supplies,Protective Roof Paint,303,2025-03-14,Open
SO-191,2025-03-07,Sunway Building Materials,Anti-Rust Coating,193,2025-03-27,Delivered
SO-192,2025-03-07,Eco World Supplies,Epoxy Floor Coating,498,2025-03-22,Delivered
SO-193,2025-03-08,UEM Sunrise Bhd,Marine Blue Coating,575,2025-03-21,Delivered
SO-194,2025-03-08,Eco World Supplies,Anti-Rust Coating,160,2025-03-16,Delivered
SO-195,2025-03-09,Maybank Facilities Mgmt,Epoxy Floor Coating,538,2025-03-30,Delivered
SO-196,2025-03-10,BuildRight Hardware,Marine Blue Coating,189,2025-03-24,Delivered
SO-197,2025-03-10,Sime Darby Property,Automotive Red Paint,518,2025-03-18,Delivered
SO-198,2025-03-11,Eco World Supplies,Clear Varnish,757,2025-03-28,Delivered
SO-199,2025-03-11,Sunway Building Materials,Marine Blue Coating,687,2025-03-22,Delivered
SO-200,2025-03-13,Gamuda Trading,Premium White Paint 4L,121,2025-04-04,Delivered
SO-201,2025-03-13,Gamuda Trading,Premium White Paint 4L,156,2025-03-25,Delivered
SO-202,2025-03-14,Sunway Building Materials,Automotive Red Paint,96,2025-04-02,Open
SO-203,2025-03-14,Maybank Facilities Mgmt,Premium White Paint 1L,683,2025-03-30,Delivered
SO-204,2025-03-14,Eco World Supplies,Protective Roof Paint,66,2025-03-19,Delivered
SO-205,2025-03-14,Nippon Construction Sdn Bhd,Premium White Paint 1L,311,2025-04-07,Open
SO-206,2025-03-14,Nippon Construction Sdn Bhd,Wood Stain Brown,311,2025-04-03,Delivered
SO-207,2025-03-16,Maybank Facilities Mgmt,Epoxy Floor Coating,392,2025-03-29,Delivered
SO-208,2025-03-16,UEM Sunrise Bhd,Automotive Red Paint,651,2025-04-05,Delivered
SO-209,2025-03-16,BuildRight Hardware,Protective Roof Paint,456,2025-04-04,Delivered
SO-210,2025-03-17,Nippon Construction Sdn Bhd,Industrial Grey Primer,541,2025-03-23,Open
SO-211,2025-03-17,UEM Sunrise Bhd,Industrial Grey Primer,463,2025-03-30,Delivered
SO-212,2025-03-17,Sime Darby Property,Industrial Grey Primer,562,2025-03-29,Open
SO-213,2025-03-17,UEM Sunrise Bhd,Epoxy Floor Coating,391,2025-03-27,Delivered
SO-214,2025-03-18,Gamuda Trading,Marine Blue Coating,158,2025-04-07,Delivered
SO-215,2025-03-18,Eco World Supplies,Wood Stain Brown,319,2025-03-26,Open
SO-216,2025-03-18,UEM Sunrise Bhd,Anti-Rust Coating,301,2025-04-04,Delivered
SO-217,2025-03-19,Sime Darby Property,Marine Blue Coating,310,2025-04-12,Delivered
SO-218,2025-03-19,Sunway Building Materials,Marine Blue Coating,650,2025-04-05,Delivered
SO-219,2025-03-19,Sunway Building Materials,Premium White Paint 4L,319,2025-03-25,Delivered
SO-220,2025-03-19,Nippon Construction Sdn Bhd,Automotive Red Paint,303,2025-03-25,Open
SO-221,2025-03-20,BuildRight Hardware,Clear Varnish,222,2025-04-12,Delivered
SO-222,2025-03-22,Gamuda Trading,Premium White Paint 4L,51,2025-03-28,Open
SO-223,2025-03-22,Maybank Facilities Mgmt,Marine Blue Coating,187,2025-04-12,Delivered
SO-224,2025-03-23,Pavilion Retail Supplies,Anti-Rust Coating,767,2025-04-09,Delivered
SO-225,2025-03-23,Maybank Facilities Mgmt,Industrial Grey Primer,461,2025-04-04,Open
SO-226,2025-03-23,SP Setia Hardware,Anti-Rust Coating,772,2025-04-01,Open
SO-227,2025-03-23,Sunway Building Materials,Marine Blue Coating,474,2025-04-13,Delivered
SO-228,2025-03-24,YTL Hardware Centre,Industrial Grey Primer,475,2025-04-16,Delivered
SO-229,2025-03-24,Eco World Supplies,Industrial Grey Primer,198,2025-04-06,Open
SO-230,2025-03-24,BuildRight Hardware,Epoxy Floor Coating,127,2025-04-06,Delivered
SO-231,2025-03-25,BuildRight Hardware,Epoxy Floor Coating,378,2025-04-15,Delivered
SO-232,2025-03-25,Sime Darby Property,Anti-Rust Coating,463,2025-03-31,Delivered
SO-233,2025-03-26,Nippon Construction Sdn Bhd,Marine Blue Coating,564,2025-04-18,Delivered
SO-234,2025-03-27,Top Glove Facilities,Anti-Rust Coating,242,2025-04-11,Delivered
SO-235,2025-03-27,Sunway Building Materials,Wood Stain Brown,363,2025-04-12,Delivered
SO-236,2025-03-27,Eco World Supplies,Epoxy Floor Coating,96,2025-04-17,Delivered
SO-237,2025-03-28,SP Setia Hardware,Marine Blue Coating,250,2025-04-18,Delivered
SO-238,2025-03-28,SP Setia Hardware,Premium White Paint 1L,263,2025-04-19,Delivered
SO-239,2025-03-28,Maybank Facilities Mgmt,Protective Roof Paint,249,2025-04-12,Delivered
SO-240,2025-03-28,Sunway Building Materials,Anti-Rust Coating,424,2025-04-06,Delivered
SO-241,2025-03-29,Kerjaya Bina Bhd,Protective Roof Paint,145,2025-04-09,Delivered
SO-242,2025-03-29,YTL Hardware Centre,Protective Roof Paint,540,2025-04-18,Open
SO-243,2025-03-30,Kerjaya Bina Bhd,Protective Roof Paint,344,2025-04-11,Delivered
SO-244,2025-03-30,Nippon Construction Sdn Bhd,Clear Varnish,453,2025-04-06,Delivered
SO-245,2025-03-31,Metro Paint Supplies,Clear Varnish,411,2025-04-14,Delivered
SO-246,2025-03-31,YTL Hardware Centre,Anti-Rust Coating,164,2025-04-13,Delivered
SO-247,2025-03-31,Gamuda Trading,Premium White Paint 1L,435,2025-04-11,Delivered
SO-248,2025-04-01,SP Setia Hardware,Epoxy Floor Coating,204,2025-04-08,Open
SO-249,2025-04-02,Top Glove Facilities,Protective Roof Paint,467,2025-04-09,Open
SO-250,2025-04-03,SP Setia Hardware,Premium White Paint 4L,381,2025-04-24,Delivered
SO-251,2025-04-03,SP Setia Hardware,Automotive Red Paint,470,2025-04-17,Open
SO-252,2025-04-04,Eco World Supplies,Epoxy Floor Coating,772,2025-04-20,Delivered
SO-253,2025-04-04,YTL Hardware Centre,Wood Stain Brown,349,2025-04-19,Delivered
SO-254,2025-04-05,YTL Hardware Centre,Premium White Paint 4L,159,2025-04-25,Delivered
SO-255,2025-04-06,Eco World Supplies,Marine Blue Coating,299,2025-04-12,Open
SO-256,2025-04-06,Sime Darby Property,Epoxy Floor Coating,169,2025-04-24,Delivered
SO-257,2025-04-06,Nippon Construction Sdn Bhd,Premium White Paint 1L,761,2025-04-18,Delivered
SO-258,2025-04-06,YTL Hardware Centre,Premium White Paint 1L,609,2025-04-18,Delivered
SO-259,2025-04-06,IJM Corporation,Clear Varnish,239,2025-04-15,Open
SO-260,2025-04-07,Top Glove Facilities,Protective Roof Paint,521,2025-04-27,Delivered
SO-261,2025-04-07,Maybank Facilities Mgmt,Automotive Red Paint,118,2025-04-12,Delivered
SO-262,2025-04-08,SP Setia Hardware,Premium White Paint 1L,659,2025-04-13,Delivered
SO-263,2025-04-08,Eco World Supplies,Industrial Grey Primer,560,2025-04-13,Delivered
SO-264,2025-04-09,Sime Darby Property,Industrial Grey Primer,453,2025-04-14,Open
SO-265,2025-04-10,Kerjaya Bina Bhd,Industrial Grey Primer,190,2025-05-03,Delivered
SO-266,2025-04-10,Nippon Construction Sdn Bhd,Clear Varnish,222,2025-04-27,Delivered
SO-267,2025-04-11,Pavilion Retail Supplies,Premium White Paint 1L,415,2025-05-04,Open
SO-268,2025-04-11,Metro Paint Supplies,Wood Stain Brown,304,2025-04-26,Delivered
SO-269,2025-04-11,UEM Sunrise Bhd,Marine Blue Coating,270,2025-05-05,Open
SO-270,2025-04-11,Top Glove Facilities,Industrial Grey Primer,54,2025-04-29,Delivered
SO-271,2025-04-12,IJM Corporation,Premium White Paint 1L,749,2025-05-01,Delivered
SO-272,2025-04-12,Kerjaya Bina Bhd,Industrial Grey Primer,662,2025-04-28,Delivered
SO-273,2025-04-12,Maybank Facilities Mgmt,Industrial Grey Primer,761,2025-04-25,Delivered
SO-274,2025-04-13,BuildRight Hardware,Protective Roof Paint,669,2025-04-30,Delivered
SO-275,2025-04-13,SP Setia Hardware,Anti-Rust Coating,355,2025-04-19,Delivered
SO-276,2025-04-13,Kerjaya Bina Bhd,Premium White Paint 1L,139,2025-05-01,Delivered
SO-277,2025-04-13,Pavilion Retail Supplies,Protective Roof Paint,750,2025-04-24,Delivered
SO-278,2025-04-14,Sime Darby Property,Wood Stain Brown,540,2025-04-28,Delivered
SO-279,2025-04-14,Sunway Building Materials,Premium White Paint 4L,131,2025-05-04,Delivered
SO-280,2025-04-15,Maybank Facilities Mgmt,Wood Stain Brown,242,2025-05-06,Delivered
SO-281,2025-04-15,Pavilion Retail Supplies,Anti-Rust Coating,543,2025-05-07,Delivered
SO-282,2025-04-16,Top Glove Facilities,Clear Varnish,728,2025-05-03,Delivered
SO-283,2025-04-16,Pavilion Retail Supplies,Premium White Paint 1L,526,2025-05-08,Delivered
SO-284,2025-04-17,Eco World Supplies,Clear Varnish,418,2025-04-22,Delivered
SO-285,2025-04-18,Metro Paint Supplies,Clear Varnish,651,2025-05-05,Delivered
SO-286,2025-04-19,UEM Sunrise Bhd,Epoxy Floor Coating,582,2025-05-06,Delivered
SO-287,2025-04-19,Sime Darby Property,Protective Roof Paint,532,2025-05-10,Delivered
SO-288,2025-04-19,Eco World Supplies,Anti-Rust Coating,585,2025-05-17,Delivered
SO-289,2025-04-19,UEM Sunrise Bhd,Protective Roof Paint,364,2025-05-08,Delivered
SO-290,2025-04-19,Top Glove Facilities,Marine Blue Coating,644,2025-04-26,Open
SO-291,2025-04-19,Nippon Construction Sdn Bhd,Protective Roof Paint,602,2025-05-09,Delivered
SO-292,2025-04-19,Metro Paint Supplies,Premium White Paint 4L,350,2025-04-30,Open
SO-293,2025-04-20,YTL Hardware Centre,Wood Stain Brown,52,2025-05-02,Open
SO-294,2025-04-21,SP Setia Hardware,Premium White Paint 4L,231,2025-05-15,Open
SO-295,2025-04-21,Top Glove Facilities,Anti-Rust Coating,344,2025-04-28,Open
